deck,model_id,corner,ccell_ff,k_couple,dv_5ns,dv_8ns,dv_10ns,dv_12ns,dv_15ns
3D_gaa_AOS_tt_couple_20ff_k00.sp,3D_gaa_AOS,tt,20.0,0.0,-0.0159372859,-0.0234140688,-0.0264290162,-0.0285463172,-0.0306125705
3D_gaa_AOS_tt_couple_20ff_k05.sp,3D_gaa_AOS,tt,20.0,0.05,-0.00605140472,-0.0129465066,-0.0157629619,-0.0177723032,-0.0197903441
3D_gaa_AOS_tt_couple_20ff_k10.sp,3D_gaa_AOS,tt,20.0,0.1,0.00224063596,-0.00417112514,-0.00681290393,-0.00871781829,-0.0106731997
3D_gaa_AOS_tt_couple_20ff_k15.sp,3D_gaa_AOS,tt,20.0,0.15,0.00936375719,0.00335940505,0.000870346236,-0.000938098315,-0.00282538863
3D_gaa_Si_tt_couple_20ff_k00.sp,3D_gaa_Si,tt,20.0,0.0,-0.0290486942,-0.046357789,-0.0542656315,-0.0603558486,-0.0671658066
3D_gaa_Si_tt_couple_20ff_k05.sp,3D_gaa_Si,tt,20.0,0.05,-0.0180032113,-0.0338446821,-0.0410907783,-0.046677759,-0.052961506
3D_gaa_Si_tt_couple_20ff_k10.sp,3D_gaa_Si,tt,20.0,0.1,-0.00878059406,-0.0234331239,-0.0301402683,-0.0353142072,-0.0411492657
3D_gaa_Si_tt_couple_20ff_k15.sp,3D_gaa_Si,tt,20.0,0.15,-0.000891808361,-0.0145592759,-0.0208184325,-0.0256477974,-0.0311024721
BCAT_125_tt_couple_20ff_k00.sp,BCAT_125,tt,20.0,0.0,-0.00540911572,-0.0100888149,-0.0128505966,-0.0153664361,-0.0187420124
BCAT_125_tt_couple_20ff_k05.sp,BCAT_125,tt,20.0,0.05,0.00473657388,0.000457025722,-0.00206831675,-0.00436971731,-0.00745757128
BCAT_125_tt_couple_20ff_k10.sp,BCAT_125,tt,20.0,0.1,0.0132754408,0.0093189843,0.00698455377,0.00485642419,0.00200111783
BCAT_125_tt_couple_20ff_k15.sp,BCAT_125,tt,20.0,0.15,0.0206356484,0.0169462865,0.0147698162,0.0127848839,0.0101219477
VCT_082_tt_couple_20ff_k00.sp,VCT_082,tt,20.0,0.0,-0.00865749888,-0.0139187094,-0.0163985002,-0.0183486598,-0.0206251039
VCT_082_tt_couple_20ff_k05.sp,VCT_082,tt,20.0,0.05,0.00232324485,-0.00249565947,-0.00476444305,-0.00655165539,-0.00863667368
VCT_082_tt_couple_20ff_k10.sp,VCT_082,tt,20.0,0.1,0.0115624877,0.00709927466,0.00499958891,0.00334094984,0.00141169094
VCT_082_tt_couple_20ff_k15.sp,VCT_082,tt,20.0,0.15,0.0195176983,0.0153502333,0.0133895564,0.0118419621,0.0100408395
VCT_091_tt_couple_20ff_k00.sp,VCT_091,tt,20.0,0.0,-0.00895905665,-0.014292313,-0.0167736875,-0.0187271667,-0.0209859606
VCT_091_tt_couple_20ff_k05.sp,VCT_091,tt,20.0,0.05,0.00205025092,-0.00283638602,-0.00511026504,-0.00689841593,-0.00896743534
VCT_091_tt_couple_20ff_k10.sp,VCT_091,tt,20.0,0.1,0.0113073005,0.00678238422,0.00467663043,0.00302236394,0.00110686855
VCT_091_tt_couple_20ff_k15.sp,VCT_091,tt,20.0,0.15,0.0192794622,0.0150542804,0.0130878853,0.0115443532,0.00975603245
VCT_102_tt_couple_20ff_k00.sp,VCT_102,tt,20.0,0.0,-0.0093447349,-0.0147621327,-0.0172538917,-0.0191890556,-0.0214260748
VCT_102_tt_couple_20ff_k05.sp,VCT_102,tt,20.0,0.05,0.00169342326,-0.00326876697,-0.00554853638,-0.0073222156,-0.00937131246
VCT_102_tt_couple_20ff_k10.sp,VCT_102,tt,20.0,0.1,0.0109797791,0.00638331828,0.00427333586,0.00262694709,0.0007308604
VCT_102_tt_couple_20ff_k15.sp,VCT_102,tt,20.0,0.15,0.0189736736,0.0146815398,0.0127111257,0.0111749167,0.00940465558
VCT_125_tt_couple_20ff_k00.sp,VCT_125,tt,20.0,0.0,-0.0126273441,-0.019419904,-0.0223961313,-0.0246376145,-0.0271541225
VCT_125_tt_couple_20ff_k05.sp,VCT_125,tt,20.0,0.05,-0.00130575828,-0.00752356648,-0.0102447622,-0.0122984144,-0.0146026579
VCT_125_tt_couple_20ff_k10.sp,VCT_125,tt,20.0,0.1,0.00821143144,0.00245435705,-6.29707914e-05,-0.00196903796,-0.00410024686
VCT_125_tt_couple_20ff_k15.sp,VCT_125,tt,20.0,0.15,0.0163945869,0.0110210752,0.00867118832,0.00689348409,0.00490435054
3D_gaa_AOS_ff_couple_20ff_k00.sp,3D_gaa_AOS,ff,20.0,0.0,-0.0199975133,-0.0284694554,-0.031577036,-0.0335697232,-0.035299926
3D_gaa_AOS_ff_couple_20ff_k05.sp,3D_gaa_AOS,ff,20.0,0.05,-0.00892614184,-0.0167834233,-0.0197378835,-0.0216829941,-0.0234349511
3D_gaa_AOS_ff_couple_20ff_k10.sp,3D_gaa_AOS,ff,20.0,0.1,0.000356940604,-0.00697834243,-0.00978453532,-0.0116690057,-0.0134184211
3D_gaa_AOS_ff_couple_20ff_k15.sp,3D_gaa_AOS,ff,20.0,0.15,0.00832786243,0.00143902511,-0.00122938593,-0.00304884425,-0.00478035418
3D_gaa_Si_ff_couple_20ff_k00.sp,3D_gaa_Si,ff,20.0,0.0,-0.0375512548,-0.0589341272,-0.0683556309,-0.0753634069,-0.0824034021
3D_gaa_Si_ff_couple_20ff_k05.sp,3D_gaa_Si,ff,20.0,0.05,-0.0249264188,-0.0445165716,-0.0531768833,-0.0596720413,-0.066579058
3D_gaa_Si_ff_couple_20ff_k10.sp,3D_gaa_Si,ff,20.0,0.1,-0.0143972077,-0.0325301494,-0.0405612636,-0.0466054826,-0.0531687623
3D_gaa_Si_ff_couple_20ff_k15.sp,3D_gaa_Si,ff,20.0,0.15,-0.00540125633,-0.0223241646,-0.0298281024,-0.03548531,-0.0416839126
BCAT_125_ff_couple_20ff_k00.sp,BCAT_125,ff,20.0,0.0,-0.00711757166,-0.0131859598,-0.0167290436,-0.0199301076,-0.0241827907
BCAT_125_ff_couple_20ff_k05.sp,BCAT_125,ff,20.0,0.05,0.00414312138,-0.00140685648,-0.00464706487,-0.00757596178,-0.011467369
BCAT_125_ff_couple_20ff_k10.sp,BCAT_125,ff,20.0,0.1,0.0136168673,0.00848557746,0.00549004067,0.00278119904,-0.000817944559
BCAT_125_ff_couple_20ff_k15.sp,BCAT_125,ff,20.0,0.15,0.0217799905,0.016994889,0.014201842,0.011674942,0.00831772934
VCT_082_ff_couple_20ff_k00.sp,VCT_082,ff,20.0,0.0,-0.0124228055,-0.0194519321,-0.0226104951,-0.0250181451,-0.0277445775
VCT_082_ff_couple_20ff_k05.sp,VCT_082,ff,20.0,0.05,-9.40693391e-05,-0.00652910651,-0.00941741661,-0.0116233115,-0.0141198354
VCT_082_ff_couple_20ff_k10.sp,VCT_082,ff,20.0,0.1,0.0102724722,0.00431438762,0.00164248047,-0.00040480094,-0.00271403391
