model_id,corner,ccell_ff,t_write_s_ngspice,t_read_s_ngspice,i_hold_a_ngspice,q_read_c_ngspice,t_write_s_spectre,t_read_s_spectre,i_hold_a_spectre,q_read_c_spectre
3D_gaa_AOS,ff,10.0,1.90212e-09,2.282630522088352e-08,4.86016e-10,3.0526400000000002e-19,,,,
3D_gaa_AOS,ff,20.0,1.90106e-09,2.2632225433526007e-08,4.86073e-10,1.53904e-19,,,,
3D_gaa_AOS,ff,30.0,1.90071e-09,2.2445052770448523e-08,4.86092e-10,1.02963e-19,,,,
3D_gaa_Si,ff,10.0,1.90075e-09,2.29299e-08,3.18248e-11,1.21215e-19,,,,
3D_gaa_Si,ff,20.0,1.90037e-09,2.29382e-08,3.18262e-11,6.6623e-20,,,,
3D_gaa_Si,ff,30.0,1.90025e-09,2.29409e-08,3.18267e-11,4.8255499999999994e-20,,,,
BCAT_125,ff,10.0,1.90054e-09,2.28499e-08,8.54177e-12,1.90308e-19,,,,
BCAT_125,ff,20.0,1.90027e-09,2.28559e-08,8.54199e-12,1.58171e-19,,,,
BCAT_125,ff,30.0,1.90018e-09,2.28579e-08,8.54207e-12,1.4739900000000001e-19,,,,
VCT_082,ff,10.0,1.90072e-09,2.27715e-08,3.44019e-11,2.0624600000000003e-18,,,,
VCT_082,ff,20.0,1.90036e-09,2.2776e-08,3.44042e-11,2.0278400000000002e-18,,,,
VCT_082,ff,30.0,1.90024e-09,2.27776e-08,3.4405e-11,2.0162800000000003e-18,,,,
VCT_091,ff,10.0,1.90072e-09,2.27765e-08,3.43786e-11,2.01509e-18,,,,
VCT_091,ff,20.0,1.90036e-09,2.27811e-08,3.43808e-11,1.9801600000000003e-18,,,,
VCT_091,ff,30.0,1.90024e-09,2.27826e-08,3.43816e-11,1.96845e-18,,,,
VCT_102,ff,10.0,1.90072e-09,2.27828e-08,3.43485e-11,1.95523e-18,,,,
VCT_102,ff,20.0,1.90036e-09,2.27874e-08,3.43508e-11,1.9199200000000003e-18,,,,
VCT_102,ff,30.0,1.90024e-09,2.2789e-08,3.43516e-11,1.90808e-18,,,,
VCT_125,ff,10.0,1.90072e-09,2.29156e-08,3.30341e-11,4.61322e-19,,,,
VCT_125,ff,20.0,1.90036e-09,2.29211e-08,3.30352e-11,4.18912e-19,,,,
VCT_125,ff,30.0,1.90024e-09,2.29229e-08,3.30355e-11,4.0471000000000003e-19,,,,
